week,actors,cumulative
97,[],0
98,[],0
99,"[{'name': '@UnionLeader', 'frequency': 1}, {'name': '@HuffingtonPost', 'frequency': 1}]",2
100,"[{'name': '@UnionLeader', 'frequency': 1}]",1
101,"[{'name': '@nytimes', 'frequency': 1}, {'name': '@HuffingtonPost', 'frequency': 3}]",4
102,"[{'name': '@JonahNRO', 'frequency': 1}]",1
103,"[{'name': '@thehill', 'frequency': 3}, {'name': '@UnionLeader', 'frequency': 1}, {'name': '@JonahNRO', 'frequency': 15}]",19
104,[],0
105,"[{'name': '@WSJ', 'frequency': 1}, {'name': '@WashTimes', 'frequency': 1}]",2
106,"[{'name': '@RealBenCarson', 'frequency': 1}, {'name': '@UnionLeader', 'frequency': 1}]",2
107,"[{'name': '@thehill', 'frequency': 2}]",2
108,"[{'name': '@thehill', 'frequency': 1}, {'name': '@VanityFair', 'frequency': 1}]",2
109,"[{'name': '@WSJ', 'frequency': 1}, {'name': '@VanityFair', 'frequency': 1}]",2
110,[],0
111,"[{'name': '@WashTimes', 'frequency': 1}, {'name': '@NYDailyNews', 'frequency': 1}, {'name': '@JebBush', 'frequency': 1}]",3
112,"[{'name': '@nytimes', 'frequency': 1}, {'name': '@WSJ', 'frequency': 1}, {'name': '@JebBush', 'frequency': 1}, {'name': '@billmaher', 'frequency': 1}]",4
113,"[{'name': '@MittRomney', 'frequency': 1}, {'name': '@thehill', 'frequency': 1}, {'name': '@NYDailyNews', 'frequency': 1}, {'name': '@JebBush', 'frequency': 2}]",5
114,"[{'name': '@MittRomney', 'frequency': 1}]",1
115,"[{'name': '@MittRomney', 'frequency': 1}, {'name': '@WashTimes', 'frequency': 1}, {'name': '@NYDailyNews', 'frequency': 1}, {'name': '@HuffingtonPost', 'frequency': 3}]",6
116,"[{'name': '@FrankLuntz', 'frequency': 3}, {'name': '@WSJ', 'frequency': 2}, {'name': '@thehill', 'frequency': 1}, {'name': '@HuffingtonPost', 'frequency': 1}]",7
117,"[{'name': '@WSJ', 'frequency': 2}, {'name': '@thehill', 'frequency': 1}, {'name': '@mboyle1', 'frequency': 1}]",4
118,"[{'name': '@nytimes', 'frequency': 3}, {'name': '@FrankLuntz', 'frequency': 9}, {'name': '@WSJ', 'frequency': 2}, {'name': '@RealBenCarson', 'frequency': 1}]",15
119,"[{'name': '@thehill', 'frequency': 1}, {'name': '@HuffingtonPost', 'frequency': 1}]",2
120,"[{'name': '@WashTimes', 'frequency': 1}]",1
121,"[{'name': '@JebBush', 'frequency': 2}, {'name': '@SarahPalinUSA', 'frequency': 1}]",3
122,"[{'name': '@JebBush', 'frequency': 1}]",1
123,"[{'name': '@JebBush', 'frequency': 1}]",1
124,"[{'name': '@NYDailyNews', 'frequency': 1}]",1
125,"[{'name': '@nytimes', 'frequency': 1}, {'name': '@NBCNews', 'frequency': 1}, {'name': '@FrankLuntz', 'frequency': 1}]",3
126,"[{'name': '@MittRomney', 'frequency': 5}, {'name': '@thehill', 'frequency': 1}, {'name': '@JebBush', 'frequency': 1}]",7
127,"[{'name': '@thehill', 'frequency': 1}]",1
128,"[{'name': '@nytimes', 'frequency': 1}, {'name': '@VanityFair', 'frequency': 1}, {'name': '@JebBush', 'frequency': 6}]",8
129,"[{'name': '@MittRomney', 'frequency': 4}, {'name': '@JebBush', 'frequency': 10}]",14
130,"[{'name': '@WSJ', 'frequency': 4}, {'name': '@thehill', 'frequency': 2}, {'name': '@RealBenCarson', 'frequency': 1}, {'name': '@JebBush', 'frequency': 2}]",9
131,"[{'name': '@nytimes', 'frequency': 1}, {'name': '@RealBenCarson', 'frequency': 1}]",2
132,"[{'name': '@WSJ', 'frequency': 8}]",8
133,"[{'name': '@VanityFair', 'frequency': 3}, {'name': '@SarahPalinUSA', 'frequency': 2}]",5
134,"[{'name': '@nytimes', 'frequency': 8}, {'name': '@WSJ', 'frequency': 2}]",10
135,"[{'name': '@nytimes', 'frequency': 1}, {'name': '@NBCNews', 'frequency': 1}, {'name': '@thehill', 'frequency': 1}]",3
136,"[{'name': '@nytimes', 'frequency': 4}, {'name': '@FrankLuntz', 'frequency': 1}, {'name': '@WSJ', 'frequency': 2}, {'name': '@thehill', 'frequency': 1}, {'name': '@JebBush', 'frequency': 2}]",10
137,"[{'name': '@FrankLuntz', 'frequency': 1}, {'name': '@thehill', 'frequency': 1}, {'name': '@JebBush', 'frequency': 3}]",5
138,"[{'name': '@nytimes', 'frequency': 1}, {'name': '@JebBush', 'frequency': 13}]",14
139,"[{'name': '@JebBush', 'frequency': 10}, {'name': '@UnionLeader', 'frequency': 3}]",13
140,"[{'name': '@thehill', 'frequency': 1}, {'name': '@JebBush', 'frequency': 5}, {'name': '@UnionLeader', 'frequency': 4}, {'name': '@JonahNRO', 'frequency': 1}]",11
141,"[{'name': '@FrankLuntz', 'frequency': 1}, {'name': '@UnionLeader', 'frequency': 1}]",2
142,"[{'name': '@nytimes', 'frequency': 1}, {'name': '@JebBush', 'frequency': 3}, {'name': '@SarahPalinUSA', 'frequency': 4}]",8
143,"[{'name': '@NBCNews', 'frequency': 2}]",2
144,"[{'name': '@RealBenCarson', 'frequency': 1}]",1
145,"[{'name': '@RealBenCarson', 'frequency': 3}, {'name': '@NYDailyNews', 'frequency': 7}, {'name': '@JebBush', 'frequency': 5}]",15
146,"[{'name': '@WSJ', 'frequency': 1}, {'name': '@JebBush', 'frequency': 1}]",2
147,"[{'name': '@MSNBC', 'frequency': 1}, {'name': '@MittRomney', 'frequency': 5}, {'name': '@WSJ', 'frequency': 1}, {'name': '@JebBush', 'frequency': 1}, {'name': '@SarahPalinUSA', 'frequency': 1}]",9
148,"[{'name': '@MittRomney', 'frequency': 1}, {'name': '@RealBenCarson', 'frequency': 1}]",2
149,"[{'name': '@NBCNews', 'frequency': 1}, {'name': '@WSJ', 'frequency': 1}, {'name': '@RealBenCarson', 'frequency': 1}, {'name': '@NYDailyNews', 'frequency': 1}]",4
150,"[{'name': '@nytimes', 'frequency': 1}, {'name': '@WSJ', 'frequency': 3}, {'name': '@RealBenCarson', 'frequency': 1}]",5
151,"[{'name': '@nytimes', 'frequency': 1}]",1
152,"[{'name': '@NBCNews', 'frequency': 1}]",1
153,[],0
154,"[{'name': '@nytimes', 'frequency': 1}, {'name': '@WSJ', 'frequency': 1}]",2
155,[],0
156,"[{'name': '@nytimes', 'frequency': 1}]",1
157,[],0
158,"[{'name': '@thehill', 'frequency': 1}]",1
159,"[{'name': '@nytimes', 'frequency': 21}, {'name': '@WSJ', 'frequency': 1}]",22
160,"[{'name': '@nytimes', 'frequency': 2}]",2
161,"[{'name': '@nytimes', 'frequency': 1}]",1
162,[],0
163,[],0
164,[],0
165,"[{'name': '@nytimes', 'frequency': 1}, {'name': '@NBCNews', 'frequency': 1}]",2
166,[],0
167,[],0
168,[],0
169,"[{'name': '@nytimes', 'frequency': 1}]",1
170,"[{'name': '@nytimes', 'frequency': 1}]",1
171,"[{'name': '@nytimes', 'frequency': 2}]",2
172,"[{'name': '@nytimes', 'frequency': 3}]",3
173,"[{'name': '@MSNBC', 'frequency': 1}]",1
174,[],0
175,"[{'name': '@nytimes', 'frequency': 1}]",1
176,"[{'name': '@nytimes', 'frequency': 4}]",4
177,[],0
178,"[{'name': '@nytimes', 'frequency': 1}, {'name': '@WSJ', 'frequency': 1}, {'name': '@WashTimes', 'frequency': 1}]",3
179,"[{'name': '@FrankLuntz', 'frequency': 1}]",1
180,"[{'name': '@nytimes', 'frequency': 2}]",2
181,"[{'name': '@Rosie', 'frequency': 1}]",1
182,[],0
183,[],0
184,[],0
185,"[{'name': '@nytimes', 'frequency': 6}]",6
186,"[{'name': '@nytimes', 'frequency': 4}]",4
187,[],0
188,"[{'name': '@RealBenCarson', 'frequency': 1}]",1
189,"[{'name': '@VanityFair', 'frequency': 1}]",1
190,"[{'name': '@NBCNews', 'frequency': 1}]",1
191,"[{'name': '@NBCNews', 'frequency': 1}]",1
192,[],0
193,"[{'name': '@NBCNews', 'frequency': 1}]",1
194,"[{'name': '@NBCNews', 'frequency': 2}, {'name': '@WSJ', 'frequency': 1}]",3
195,"[{'name': '@nytimes', 'frequency': 2}]",2
196,"[{'name': '@nytimes', 'frequency': 2}]",2
