actor,frequency,negative,positive,rated
@AGSchneiderman,52,-12,21,9
@MsVivicaFox,26,-3,18,15
@CelebApprentice,14,-2,12,10
@IanZiering,24,-3,13,10
@Kateplusmy8,11,-1,8,7
@Lord,11,-2,11,9
@TMZ,13,-3,3,0
@MissUSA,14,-1,8,7
@GolfMagazine,12,-1,10,9
@RealGilbert,13,-1,9,8
@ronmeier123,18,-2,11,9
@VinceMcMahon,14,-4,6,2
@trumpwinery,12,0,7,7
@InTheElections,16,-2,11,9
@Espngreeny,10,-1,7,6
@JUrciuoli19,10,-3,7,4
@MattGinellaGC,19,-7,11,4
@buffalobills,24,-1,16,15
@JustinRose99,11,0,10,10
@Yankees,14,-3,9,6
@maathewdavis,11,-2,6,4
@LilJon,10,-2,6,4
@GolfDigestMag,10,-2,6,4
@ArsenioHall,17,-5,12,7
@nflcommish,47,-3,34,31
@ForQ2,10,-3,6,3
@AberdeenCC,10,-5,5,0
@fundanything,21,-3,6,3
@VattenfallGroup,13,-6,6,0
@theFAMiLYLEADER,14,0,7,7
